CDS_CODE,ETHNIC,GENDER,E7,E8,E9,E10,E11,E12,EUS,ETOT,D7,D8,D9,D10,D11,D12,DUS,DTOT,YEAR
1.10017E+12,1,M,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1617
1.10017E+12,1,F,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1617
1.10017E+12,2,M,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1617
1.10017E+12,2,F,0,0,2,2,2,1,0,7,0,0,1,0,0,0,0,1,1617
1.10017E+12,3,M,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1617
1.10017E+12,3,F,0,0,1,1,2,0,0,4,0,0,0,0,0,0,0,0,1617
1.10017E+12,4,M,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1617
1.10017E+12,5,M,0,0,31,32,17,22,0,102,0,0,0,0,0,0,0,0,1617
1.10017E+12,5,F,0,0,26,34,30,20,0,110,0,0,0,1,0,0,0,1,1617
1.10017E+12,6,M,0,0,19,20,17,13,0,69,0,0,0,0,0,1,0,1,1617
1.10017E+12,6,F,0,0,23,17,24,17,0,81,0,0,0,0,0,0,0,0,1617
1.10017E+12,7,M,0,0,0,5,1,5,0,11,0,0,0,0,0,0,0,0,1617
1.10017E+12,7,F,0,0,5,1,0,1,0,7,0,0,0,0,0,0,0,0,1617
1.10017E+12,9,M,0,0,2,1,1,0,0,4,0,0,0,0,0,0,0,0,1617
1.10017E+12,2,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10017E+12,2,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10017E+12,5,M,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10017E+12,5,F,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10017E+12,6,M,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10017E+12,6,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10017E+12,4,M,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1617
1.10017E+12,5,M,0,0,3,1,4,10,0,18,0,0,0,2,1,9,0,12,1617
1.10017E+12,5,F,0,0,0,0,3,0,0,3,0,0,0,0,1,1,0,2,1617
1.10017E+12,6,M,0,2,5,7,17,20,0,49,0,0,3,0,6,7,0,16,1617
1.10017E+12,6,F,0,0,0,3,0,4,0,7,0,0,0,2,2,4,0,8,1617
1.10017E+12,7,M,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,1617
1.10017E+12,7,F,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,4,1617
1.10017E+12,9,M,0,0,0,2,1,2,0,5,0,0,0,0,0,0,0,0,1617
1.10017E+12,2,M,0,0,0,0,6,3,0,9,0,0,0,0,2,0,0,2,1617
1.10017E+12,2,F,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1617
1.10017E+12,3,M,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2,1617
1.10017E+12,4,M,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1617
1.10017E+12,5,M,0,2,5,10,17,24,0,56,0,0,0,0,6,8,0,14,1617
1.10017E+12,5,F,0,0,5,4,15,27,0,51,0,0,0,1,2,5,0,8,1617
1.10017E+12,6,M,0,1,1,2,13,26,0,42,0,1,1,0,0,9,0,10,1617
1.10017E+12,6,F,0,0,0,5,13,34,0,52,0,0,0,1,1,10,0,12,1617
1.10017E+12,7,M,0,0,0,1,2,6,0,9,0,0,0,0,0,0,0,0,1617
1.10017E+12,7,F,0,0,0,1,1,2,0,4,0,0,0,0,0,0,0,0,1617
1.10017E+12,9,M,0,0,0,0,2,2,0,4,0,0,0,0,1,0,0,1,1617
1.10017E+12,9,F,0,0,0,1,0,6,0,7,0,0,0,0,0,2,0,2,1617
1.10017E+12,1,F,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10017E+12,4,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10017E+12,5,M,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10017E+12,5,F,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10017E+12,6,M,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10017E+12,6,F,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10017E+12,7,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10018E+12,5,M,27,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1617
1.10018E+12,5,F,26,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1617
1.10018E+12,6,M,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10018E+12,6,F,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10018E+12,7,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10018E+12,9,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.10018E+12,9,F,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.31609E+12,2,M,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1617
1.31609E+12,3,M,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1617
1.31609E+12,5,M,1,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,1617
1.31609E+12,5,F,1,2,3,2,0,4,0,9,0,0,0,0,0,0,0,0,1617
1.31609E+12,6,M,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1617
1.31609E+12,7,M,0,1,0,1,4,1,0,6,0,0,0,0,0,0,0,0,1617
1.31609E+12,7,F,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1617
1.31609E+12,9,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.31609E+12,9,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1617
1.31617E+12,1,M,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1617
1.31617E+12,2,M,1,1,1,0,2,3,0,6,0,0,0,0,0,0,0,0,1617
1.31617E+12,2,F,2,2,1,0,5,3,0,9,0,0,0,0,0,0,0,0,1617
1.31617E+12,3,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1617
1.31617E+12,4,M,0,2,2,2,0,4,0,8,0,0,0,0,0,0,0,0,1617
1.31617E+12,4,F,1,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,1617
1.31617E+12,5,M,13,7,8,9,9,26,0,52,0,0,0,0,0,0,0,0,1617
1.31617E+12,5,F,5,9,10,8,8,21,0,47,0,0,0,0,0,2,0,2,1617
1.31617E+12,6,M,1,2,2,0,2,4,0,8,0,0,0,0,0,0,0,0,1617
1.31617E+12,6,F,0,0,3,2,4,3,0,12,0,0,0,0,0,0,0,0,1617
1.31617E+12,7,M,4,4,2,4,4,8,0,18,0,0,0,0,0,0,0,0,1617
1.31617E+12,7,F,2,8,4,9,2,8,0,23,0,0,0,0,0,0,0,0,1617
1.31617E+12,9,M,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,1617
1.31617E+12,9,F,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,1617
1.61119E+12,2,M,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1617
1.61119E+12,5,M,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1617
1.61119E+12,5,F,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1617
