year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,edu_option_type,nslp_provision_status,charter_school,charter_school_number,charter_funding_type,IRC,low_grade,high_grade,enrollment_K12,free_meal_count_K12,perc_eligible_free_K12,FRPM_count_K12,perc_eligible_FRPM_K12,enrollment_age_5_17,free_meal_count_age_5_17,perc_eligible_free_5_17,FRPM_count_5_17,perc_eligible_FRPM_5_17,CALPADS
2017-2018,1,10017,112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,811,Directly funded,Y,9,12,413,265,64.20%,308,74.60%,401,258,64.30%,299,74.60%,Y
2017-2018,1,10017,123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1284,Directly funded,Y,K,8,252,169,67.10%,180,71.40%,233,153,65.70%,163,70.00%,Y
2017-2018,1,10017,124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1296,Directly funded,Y,K,8,387,49,12.70%,53,13.70%,387,49,12.70%,53,13.70%,Y
2017-2018,1,10017,125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1383,Directly funded,Y,K,8,448,118,26.30%,127,28.30%,438,118,26.90%,127,29.00%,Y
2017-2018,1,10017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,No ,N/A,N/A,N,K,12,77,77,100.00%,77,100.00%,70,70,100.00%,70,100.00%,Y
2017-2018,1,10017,130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,N/A,No ,N/A,N/A,N,K,12,175,138,78.90%,149,85.10%,132,98,74.20%,108,81.80%,Y
2017-2018,1,10017,131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1707,Directly funded,Y,6,8,179,138,77.10%,153,85.50%,179,138,77.10%,153,85.50%,Y
2017-2018,1,10017,136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Yes,1881,Directly funded,Y,K,12,106,22,20.80%,27,25.50%,105,21,20.00%,26,24.80%,Y
2017-2018,1,10017,136226,Alameda,Alameda County Office of Education,Opportunity Charter,County Office of Education (COE),County Community,County Community School,N/A,Yes,1888,Locally funded,N,10,12,23,18,78.30%,18,78.30%,3,2,66.70%,2,66.70%,Y
2017-2018,1,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,740,Directly funded,Y,P,5,587,509,86.70%,546,93.00%,571,498,87.20%,533,93.30%,Y
2017-2018,1,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1464,Directly funded,Y,K,8,463,356,76.90%,422,91.10%,449,347,77.30%,410,91.30%,Y
2017-2018,1,31609,131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,N/A,No ,N/A,N/A,N,K,Adult,40,40,100.00%,40,100.00%,34,34,100.00%,34,100.00%,Y
2017-2018,1,31617,131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,N/A,No ,N/A,N/A,N,P,12,375,373,99.50%,373,99.50%,308,307,99.70%,307,99.70%,Y
2017-2018,1,61119,1,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32,10,31.30%,10,31.30%,30,8,26.70%,8,26.70%,Y
2017-2018,1,61119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,187,52,27.80%,58,31.00%,184,50,27.20%,56,30.40%,Y
2017-2018,1,61119,111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,504,303,60.10%,337,66.90%,489,296,60.50%,329,67.30%,Y
2017-2018,1,61119,119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1066,Directly funded,Y,K,12,553,154,27.80%,167,30.20%,548,154,28.10%,167,30.50%,Y
2017-2018,1,61119,122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1181,Directly funded,Y,6,8,489,160,32.70%,184,37.60%,489,160,32.70%,184,37.60%,Y
2017-2018,1,61119,126656,Alameda,Alameda Unified,Maya Lin,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,8,415,89,21.40%,96,23.10%,415,89,21.40%,96,23.10%,Y
2017-2018,1,61119,130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1776,371,20.90%,410,23.10%,1688,346,20.50%,382,22.60%,Y
2017-2018,1,61119,130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,352,Directly funded,Y,6,12,368,104,28.30%,117,31.80%,359,101,28.10%,114,31.80%,Y
2017-2018,1,61119,130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,N/A,Yes,398,Directly funded,Y,9,12,183,141,77.00%,181,98.90%,161,125,77.60%,159,98.80%,Y
2017-2018,1,61119,131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1718,Directly funded,Y,K,5,203,43,21.20%,43,21.20%,203,43,21.20%,43,21.20%,Y
2017-2018,1,61119,132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,1329,534,40.20%,587,44.20%,1289,511,39.60%,562,43.60%,Y
2017-2018,1,61119,134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,111,54,48.60%,58,52.30%,86,36,41.90%,39,45.30%,Y
2017-2018,1,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,4,5,87,28,32.20%,30,34.50%,87,28,32.20%,30,34.50%,Y
2017-2018,1,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,470,55,11.70%,67,14.30%,470,55,11.70%,67,14.30%,Y
2017-2018,1,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,644,100,15.50%,111,17.20%,644,100,15.50%,111,17.20%,Y
2017-2018,1,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,345,68,19.70%,73,21.20%,345,68,19.70%,73,21.20%,Y
2017-2018,1,61119,6090047,Alameda,Alameda Unified,Henry Haight Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,554,258,46.60%,276,49.80%,540,255,47.20%,271,50.20%,Y
2017-2018,1,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,873,130,14.90%,150,17.20%,873,130,14.90%,150,17.20%,Y
2017-2018,1,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,519,225,43.40%,257,49.50%,519,225,43.40%,257,49.50%,Y
2017-2018,1,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,374,155,41.40%,167,44.70%,358,145,40.50%,157,43.90%,Y
2017-2018,1,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,643,70,10.90%,82,12.80%,616,66,10.70%,78,12.70%,Y
2017-2018,1,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,640,56,8.80%,71,11.10%,640,56,8.80%,71,11.10%,Y
2017-2018,1,61127,1,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,50.00%,1,50.00%,2,1,50.00%,1,50.00%,Y
2017-2018,1,61127,130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,12,3,25.00%,6,50.00%,10,2,20.00%,4,40.00%,Y
2017-2018,1,61127,130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1129,202,17.90%,232,20.50%,1108,196,17.70%,223,20.10%,Y
2017-2018,1,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,553,68,12.30%,80,14.50%,553,68,12.30%,80,14.50%,Y
2017-2018,1,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,880,136,15.50%,166,18.90%,880,136,15.50%,166,18.90%,Y
2017-2018,1,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,508,64,12.60%,73,14.40%,508,64,12.60%,73,14.40%,Y
